Lon,Lat,Lon2,Lat2
20.954216,52.21315,20.964384,52.217396
20.93309,52.295517,20.941334,52.301773
21.12496,52.232666,21.138838,52.229
20.955593,52.251125,20.948824,52.257248
20.938073,52.395496,20.947992,52.4029126
21.300831,52.164231,21.310199,52.156556
20.9781004,52.2791709,20.9918847,52.2856026
20.941334,52.301773,20.95578,52.308662
20.943092,52.302757,20.931705,52.294113
20.659698,52.263382,20.6753172,52.2624272
21.181188,52.225268,21.186621,52.225058
21.150532,52.378201,21.143978,52.370197
20.991293,52.285297,21.003258,52.290302
20.939533,52.274555,20.953156,52.269539
20.904184,52.283772,20.890709,52.285358
20.8978835,52.3942556,20.9034911,52.3871966
21.1261952,52.0921442,21.1362562,52.094952
21.097105,52.1417783,21.092706,52.148501
21.071367,52.2034616,21.059542,52.201679
20.9980251,52.2951283,20.9910635,52.3018033
20.8212826,52.1000778,20.813087,52.0959341
21.048351,52.260502,21.058428,52.266102
20.9918847,52.2856026,21.0027941,52.2901892
20.95578,52.308662,20.966322,52.312881
20.99255,52.300179,20.999319,52.293659
21.1729717,52.225405,21.187681,52.22498
21.006973,52.30677,21.00009,52.315697
21.032966,52.239373,21.0242563,52.2447972
21.003258,52.290302,21.013628,52.29348
21.0444828,52.302811,21.0334875,52.3000433
21.1213515,52.2664094,21.126606,52.259651
20.999319,52.293659,20.993341,52.286572
21.0398007,52.2231561,21.0512939,52.2257257
21.0686783,52.202665,21.0831298,52.2064658
21.187681,52.22498,21.204606,52.224351
21.2096833,52.2243167,21.19708,52.2247233
21.0558966,52.226735,21.0451558,52.2246235
20.993017,52.32502,20.987705,52.331402
20.977533167,52.080894333,20.990379833,52.081918833
20.969944167,52.138495333,20.959607333,52.142822333
20.993341,52.286572,20.978216,52.279663
21.204606,52.224351,21.222115,52.223715
21.19708,52.2247233,21.1772217,52.22537
